,subj,stimType,stimPos,resp,rt,initWheelPos,finalWheelPos,tone,flanker,cue,cuePos,trialNum,phase,bias,sex,hand,age,acc,err,rt_mean,rt_clean
24,RT_9-1,Right,7,Right,636,-43,-40,Sound_1,Incongruent,n,,1,experiment,rt,Male,Right,21,1,0,622.296875,636.0
25,RT_9-1,Right,2,Right,498,37,38,Sound_1,Congruent,y,2.0,1,experiment,rt,Male,Right,21,1,0,590.21875,498.0
26,RT_9-1,Right,6,Left,666,-31,-32,None,Congruent,n,,1,experiment,rt,Male,Right,21,0,1,590.21875,666.0
27,RT_9-1,Left,4,Left,765,3,-5,None,None,n,,1,experiment,rt,Male,Right,21,1,0,577.90625,765.0
28,RT_9-1,Left,6,Left,666,43,39,Sound_1,Incongruent,n,,1,experiment,rt,Male,Right,21,1,0,622.296875,666.0
29,RT_9-1,Right,5,Right,766,4,0,None,Congruent,y,5.0,1,experiment,rt,Male,Right,21,1,0,590.21875,766.0
30,RT_9-1,Left,5,Left,732,-31,-32,None,Incongruent,n,,1,experiment,rt,Male,Right,21,1,0,622.296875,732.0
31,RT_9-1,Left,7,Left,564,33,32,Sound_1,Incongruent,y,7.0,1,experiment,rt,Male,Right,21,1,0,622.296875,564.0
32,RT_9-1,Left,6,Left,531,-41,-30,None,Incongruent,y,6.0,1,experiment,rt,Male,Right,21,1,0,622.296875,531.0
33,RT_9-1,Right,3,Right,599,35,35,Sound_1,Incongruent,n,,1,experiment,rt,Male,Right,21,1,0,622.296875,599.0
34,RT_9-1,Left,7,Left,699,-43,-44,Sound_1,Incongruent,n,,1,experiment,rt,Male,Right,21,1,0,622.296875,699.0
35,RT_9-1,Right,7,Right,565,48,47,None,None,y,7.0,1,experiment,rt,Male,Right,21,1,0,577.90625,565.0
36,RT_9-1,Left,3,Left,699,-2,-1,None,Congruent,y,3.0,1,experiment,rt,Male,Right,21,1,0,590.21875,699.0
37,RT_9-1,Right,1,Right,799,-52,-50,None,None,n,,1,experiment,rt,Male,Right,21,1,0,577.90625,799.0
38,RT_9-1,Right,7,Right,599,45,42,None,Incongruent,n,,1,experiment,rt,Male,Right,21,1,0,622.296875,599.0
39,RT_9-1,Left,1,Left,564,-46,-46,Sound_1,Congruent,y,1.0,1,experiment,rt,Male,Right,21,1,0,590.21875,564.0
40,RT_9-1,Right,5,Right,465,34,29,Sound_1,Congruent,y,5.0,1,experiment,rt,Male,Right,21,1,0,590.21875,465.0
41,RT_9-1,Left,8,Left,598,-37,-34,None,Congruent,y,8.0,1,experiment,rt,Male,Right,21,1,0,590.21875,598.0
42,RT_9-1,Right,4,Right,499,33,34,None,None,y,4.0,1,experiment,rt,Male,Right,21,1,0,577.90625,499.0
43,RT_9-1,Left,5,Left,832,-41,-40,Sound_1,Incongruent,y,5.0,1,experiment,rt,Male,Right,21,1,0,622.296875,832.0
44,RT_9-1,Right,4,Right,566,45,44,None,Incongruent,n,,1,experiment,rt,Male,Right,21,1,0,622.296875,566.0
45,RT_9-1,Left,5,Left,565,-57,-28,None,Congruent,y,5.0,1,experiment,rt,Male,Right,21,1,0,590.21875,565.0
