subj,stimType,stimPos,resp,rt,initWheelPos,finalWheelPos,tone,flanker,cue,cuePos,trialNum,phase,bias,sex,hand,age,acc,err
RT_9-1,Right,3,Right,832,5,1,None,None,y,3,1,practice,rt,Male,Right,21,1,0
RT_9-1,Right,1,Right,632,-57,-25,None,Congruent,y,1,1,practice,rt,Male,Right,21,1,0
RT_9-1,Right,4,Right,700,38,36,None,Incongruent,n,NA,1,practice,rt,Male,Right,21,1,0
RT_9-1,Left,4,Right,466,-46,-42,Sound_1,Incongruent,n,NA,1,practice,rt,Male,Right,21,0,1
RT_9-1,Right,8,Right,665,1,-1,Sound_1,None,y,8,1,practice,rt,Male,Right,21,1,0
RT_9-1,Right,5,Right,633,36,36,None,Congruent,n,NA,1,practice,rt,Male,Right,21,1,0
RT_9-1,Left,7,Left,598,3,0,Sound_1,Congruent,n,NA,1,practice,rt,Male,Right,21,1,0
RT_9-1,Left,7,Left,732,-42,-44,None,Congruent,n,NA,1,practice,rt,Male,Right,21,1,0
RT_9-1,Left,5,Left,699,35,33,None,None,n,NA,1,practice,rt,Male,Right,21,1,0
RT_9-1,Left,2,Left,530,-38,-38,Sound_1,None,n,NA,1,practice,rt,Male,Right,21,1,0
RT_9-1,Left,5,Left,565,38,37,Sound_1,Congruent,n,NA,1,practice,rt,Male,Right,21,1,0
RT_9-1,Right,3,Right,498,-39,-39,Sound_1,None,n,NA,1,practice,rt,Male,Right,21,1,0
RT_9-1,Right,2,Right,565,36,37,None,Incongruent,y,2,1,practice,rt,Male,Right,21,1,0
RT_9-1,Right,1,Right,599,2,2,None,Congruent,n,NA,1,practice,rt,Male,Right,21,1,0
RT_9-1,Left,8,Left,666,36,34,None,None,n,NA,1,practice,rt,Male,Right,21,1,0
RT_9-1,Left,4,Left,666,-2,2,None,None,n,NA,1,practice,rt,Male,Right,21,1,0
RT_9-1,Left,2,Left,498,36,33,Sound_1,None,y,2,1,practice,rt,Male,Right,21,1,0
RT_9-1,Left,8,Left,499,-1,0,Sound_1,Incongruent,n,NA,1,practice,rt,Male,Right,21,1,0
RT_9-1,Right,5,Left,633,-32,-32,None,Incongruent,n,NA,1,practice,rt,Male,Right,21,0,1
RT_9-1,Right,8,Right,632,42,42,None,Congruent,n,NA,1,practice,rt,Male,Right,21,1,0
RT_9-1,Left,3,Left,532,-35,-32,None,None,n,NA,1,practice,rt,Male,Right,21,1,0
RT_9-1,Left,5,Left,498,34,30,Sound_1,None,y,5,1,practice,rt,Male,Right,21,1,0
RT_9-1,Right,7,Right,631,0,1,None,Congruent,n,NA,1,practice,rt,Male,Right,21,1,0
RT_9-1,Left,6,Left,631,36,33,Sound_1,Congruent,y,6,1,practice,rt,Male,Right,21,1,0
RT_9-1,Right,7,Right,636,-43,-40,Sound_1,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,2,Right,498,37,38,Sound_1,Congruent,y,2,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,6,Left,666,-31,-32,None,Congruent,n,NA,1,experiment,rt,Male,Right,21,0,1
RT_9-1,Left,4,Left,765,3,-5,None,None,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,6,Left,666,43,39,Sound_1,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,5,Right,766,4,0,None,Congruent,y,5,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,5,Left,732,-31,-32,None,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,7,Left,564,33,32,Sound_1,Incongruent,y,7,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,6,Left,531,-41,-30,None,Incongruent,y,6,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,3,Right,599,35,35,Sound_1,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,7,Left,699,-43,-44,Sound_1,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,7,Right,565,48,47,None,None,y,7,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,3,Left,699,-2,-1,None,Congruent,y,3,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,1,Right,799,-52,-50,None,None,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,7,Right,599,45,42,None,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,1,Left,564,-46,-46,Sound_1,Congruent,y,1,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,5,Right,465,34,29,Sound_1,Congruent,y,5,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,8,Left,598,-37,-34,None,Congruent,y,8,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,4,Right,499,33,34,None,None,y,4,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,5,Left,832,-41,-40,Sound_1,Incongruent,y,5,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,4,Right,566,45,44,None,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,5,Left,565,-57,-28,None,Congruent,y,5,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,6,Right,564,0,-2,Sound_1,Incongruent,y,6,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,3,Left,665,42,41,Sound_1,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,7,Left,732,-54,-55,None,Congruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,5,Right,566,5,0,Sound_1,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
