when,stimType,stimPos,resp,rt,initWheelPos,finalWheelPos,tone,dist,cue,cuePos,trialNum,subj,phase,bias,sex,hand,age,acc,err
7262,Right,4,None,1001,-42,-44,Sound_1,None,y,4,1,ACC_2-1,practice,acc,Female,Right,24,0,1
14824,Right,7,None,1001,-6,2,Sound_1,None,n,NA,1,ACC_2-1,practice,acc,Female,Right,24,0,1
22254,Right,4,None,1001,-40,-56,None,None,n,NA,1,ACC_2-1,practice,acc,Female,Right,24,0,1
32645,Left,6,None,1001,42,44,None,Congruent,n,NA,1,ACC_2-1,practice,acc,Female,Right,24,0,1
41540,Right,2,None,1001,-47,-50,None,None,y,2,1,ACC_2-1,practice,acc,Female,Right,24,0,1
50967,Right,1,None,1001,32,32,Sound_1,Congruent,n,NA,1,ACC_2-1,practice,acc,Female,Right,24,0,1
60428,Right,5,None,1001,-40,-42,None,None,y,5,1,ACC_2-1,practice,acc,Female,Right,24,0,1
72920,Left,2,None,1001,13,14,None,None,y,2,1,ACC_2-1,practice,acc,Female,Right,24,0,1
80615,Right,1,None,1001,-45,-47,Sound_1,None,y,1,1,ACC_2-1,practice,acc,Female,Right,24,0,1
1066,Left,2,None,1001,1,0,None,None,y,2,1,ACC_1-1,practice,acc,Female,Right,21,0,1
23251,Left,7,None,1001,-33,-31,None,Congruent,n,NA,1,ACC_1-1,practice,acc,Female,Right,21,0,1
39941,Right,8,Right,930,-2,4,Sound_1,None,y,8,1,ACC_1-1,practice,acc,Female,Right,21,1,0
53432,Right,1,Right,899,31,29,None,Incongruent,n,NA,1,ACC_1-1,practice,acc,Female,Right,21,1,0
61427,Right,7,Right,766,3,11,Sound_1,None,n,NA,1,ACC_1-1,practice,acc,Female,Right,21,1,0
69888,Right,4,Right,766,-37,-32,None,None,n,NA,1,ACC_1-1,practice,acc,Female,Right,21,1,0
80315,Right,1,Right,567,32,22,Sound_1,Congruent,n,NA,1,ACC_1-1,practice,acc,Female,Right,21,1,0
90842,Left,4,Left,732,2,4,None,None,n,NA,1,ACC_1-1,practice,acc,Female,Right,21,1,0
98071,Left,3,Left,865,-40,-36,Sound_1,Congruent,n,NA,1,ACC_1-1,practice,acc,Female,Right,21,1,0
106799,Left,3,Left,632,-1,0,Sound_1,None,n,NA,1,ACC_1-1,practice,acc,Female,Right,21,1,0
114427,Left,8,Left,999,-45,-47,None,Congruent,y,8,1,ACC_1-1,practice,acc,Female,Right,21,1,0
126853,Right,5,Right,531,34,31,Sound_1,Congruent,y,5,1,ACC_1-1,practice,acc,Female,Right,21,1,0
137246,Right,5,Right,632,-43,-40,None,None,y,5,1,ACC_1-1,practice,acc,Female,Right,21,1,0
144974,Left,4,Left,699,7,2,Sound_1,Congruent,n,NA,1,ACC_1-1,practice,acc,Female,Right,21,1,0
152670,Left,1,Left,765,44,43,Sound_1,None,n,NA,1,ACC_1-1,practice,acc,Female,Right,21,1,0
162763,Right,2,Right,499,-35,-25,None,None,y,2,1,ACC_1-1,practice,acc,Female,Right,21,1,0
172490,Right,7,Right,599,34,32,Sound_1,Congruent,n,NA,1,ACC_1-1,practice,acc,Female,Right,21,1,0
182318,Right,4,Right,531,-49,-16,Sound_1,None,y,4,1,ACC_1-1,practice,acc,Female,Right,21,1,0
190712,Right,6,Right,532,4,4,None,None,y,6,1,ACC_1-1,practice,acc,Female,Right,21,1,0
198274,Right,1,Right,498,-42,-36,Sound_1,None,y,1,1,ACC_1-1,practice,acc,Female,Right,21,1,0
209234,Left,6,Left,999,36,18,None,Congruent,n,NA,1,ACC_1-1,practice,acc,Female,Right,21,1,0
216662,Right,3,Right,631,-5,0,Sound_1,Incongruent,y,3,1,ACC_1-1,practice,acc,Female,Right,21,1,0
224291,Left,6,Left,699,-33,-38,None,Incongruent,y,6,1,ACC_1-1,practice,acc,Female,Right,21,1,0
234151,Right,6,Right,565,44,40,Sound_1,None,y,6,1,ACC_1-1,practice,acc,Female,Right,21,1,0
4896,Right,1,Right,566,-40,-42,None,Congruent,y,1,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
12458,Left,5,Left,899,7,2,Sound_1,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
20587,Left,8,None,1001,-48,-36,None,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,0,1
29181,Right,2,Right,666,1,2,Sound_1,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
39241,Right,8,Right,532,34,32,Sound_1,Congruent,y,8,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
47003,Right,7,Right,732,-1,2,Sound_1,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
54732,Right,4,Right,965,35,31,None,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
62194,Right,2,Right,832,0,0,None,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
72054,Left,7,Left,565,42,41,Sound_1,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
81981,Right,5,None,1001,-41,-36,None,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,0,1
89676,Left,7,Left,799,2,0,None,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
97671,Left,5,Left,933,-40,-33,None,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
105200,Left,7,Left,598,-1,5,Sound_1,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
112795,Left,6,Left,498,41,37,Sound_1,Congruent,y,6,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
120490,Left,1,Left,665,-4,-1,Sound_1,None,y,1,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
128185,Left,5,Left,732,36,37,Sound_1,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
136180,Left,7,Left,631,0,0,Sound_1,None,y,7,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
145408,Right,2,Right,465,-55,-48,None,None,y,2,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
153536,Right,2,Right,565,4,2,Sound_1,None,y,2,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
162331,Left,1,Left,832,-59,-58,Sound_1,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
170725,Left,2,Left,866,5,1,Sound_1,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
178587,Left,3,Left,731,53,46,Sound_1,Congruent,y,3,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
204371,Right,2,Right,832,-46,-47,None,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
211866,Right,3,Right,598,7,3,None,None,y,3,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
219461,Left,6,Left,965,-46,-45,None,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
231820,Left,7,Left,732,36,33,None,Congruent,y,7,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
241514,Right,3,Right,632,-49,-46,Sound_1,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
251141,Left,5,Left,632,53,50,None,Incongruent,y,5,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
260768,Right,5,Right,599,-36,-30,None,None,y,5,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
270396,Left,4,Left,598,49,44,None,Congruent,y,4,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
279989,Left,1,None,1001,-46,-39,None,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,0,1
288850,Right,5,Right,565,40,34,Sound_1,Congruent,y,5,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
